species_orig,species,lifestage,movement_type,location_habitat,parameter,movement_area_km2,linear_dist_orig,linear_dist_km,linear_dist_calc,Source
Naso  unicornis,Naso  unicornis,,"home range (diel, crepuscular migrations) ","Oahu, Hawai'i (reef crest, back reef channels) AAT, PAT ",Range (KUD95) 5,0.004233,,0.073414052,,Meyer & Holland (2005)
Naso  unicornis,Naso  unicornis,,"home range (diel, crepuscular migrations) ","Oahu, Hawai'i (reef crest, back reef channels) AAT, PAT ",Mean (SD) (KUD95) 5,0.003712,,0.068747838,,Meyer & Holland (2005)
Naso  unicornis,Naso  unicornis,,"home range (diel, crepuscular migrations) ","Oahu, Hawai'i (reef crest, back reef channels) AAT, PAT ",Range (MCP) 5,NA,0.02-0.29 MFF ,0.155,MFF,Meyer & Holland (2005)
Naso  unicornis,Naso  unicornis,,"home range (diel, crepuscular migrations) ","Oahu, Hawai'i (reef crest, back reef channels) AAT, PAT ",Mean (SD) (MCP) 5,NA,0.15 (0.129) MFF ,0.15,MFF,Meyer & Holland (2005)
Naso  unicornis,Naso  unicornis,,home range,"Rodrigues, Western Indian Ocean (shallow lagoon, crest and forereef slope) AAT",Range (MCP) 7,0.1375,0.26-1.08 MFF,0.67,MFF,Hardman et al. (2010)
Naso  unicornis,Naso  unicornis,,home range,"Rodrigues, Western Indian Ocean (shallow lagoon, crest and forereef slope) AAT",Mean (SD) (MCP) 7,0.076612,0.57 (0.36) MFF,0.57,MFF,Hardman et al. (2010)
Naso vlamingii,Naso vlamingii,,home range,"Apo Island, Philippines (reef crest to reef slope) UO",Range 30,NA,0.01-0.04,0.025,,Abesamis & Russ (2005)
Zebrasoma flavescens Adults,Zebrasoma flavescens ,adults,"home range (spawning, sheltering, crepuscular migrations)","Wawaloi, Hawai'i (shallow complex boulder habitat, edge of the reef flat) PAT, TMR",Maximum 300,NA,0.6,0.6,,Claisse et al. (2011)
Apogon doederlini,Apogon doederlini,,home range (resting sites),"One Tree Reef, Great Barrier Reef (lagoon) TMR",Maximum 199,NA,0.005,0.005,,Marnane (2000)
Cheilodipterus artus,Cheilodipterus artus,,home range (resting sites),"One Tree Reef, Great Barrier Reef (lagoon) TMR",Maximum 134,NA,0.005,0.005,,Marnane (2000)
Cheilodipterus quinquilineatus,Cheilodipterus quinquilineatus,,home range (resting sites),"One Tree Reef, Great Barrier Reef (lagoon) TMR",Maximum 213,NA,0.005,0.005,,Marnane (2000)
