"stockid","B0_scalar","r","sigmaP","biomass_max","p","B0","bmsy","fmsy","msy"
"ANCHMEDGSA22",1.22272328453066,1.07443886467714,0.122742089774973,46483.9069493281,0.2,56836.9553829001,22841.4976300878,0.895365720564279,20451.4939843308
"ANCHMEDGSA29",1.00808314015039,0.455387870692005,0.125384420671973,1819729.80618228,0.2,1834438.9372415,737219.866111071,0.379489892243338,279767.487550138
"ANCHMEDGSA6",1.14846909288963,0.573054821081501,0.0450164632227251,68700,0.2,78899.8266815174,31708.0707792878,0.477545684234584,15142.0523560536
"ANCHMEDGSA7",0.593469107505857,0.57297628558667,0.167952814198469,112000,0.2,66468.540040656,26712.2154870178,0.477480237988891,12754.5550079518
"ANCHMEDGSA9",2.11855386173265,0.329873311731308,0.135349176930006,17400,0.2,36862.8371941482,14814.3475092224,0.274894426442757,4072.38156167136
"ANCHOBAYB",0.85873150224823,0.656258092995713,0.175098376289233,178254.459124345,0.2,153072.719466294,61516.4928410713,0.546881744163094,33642.2468997216
"ANCHOSA",0.541297350032543,0.328515000837553,0.147337465218149,9260000,0.2,5012413.46130135,2014376.55177041,0.273762500697961,551460.762160003
"ANCHOWA",0.703767254558833,1.91476312629572,0.217658449510604,352000,0.2,247726.073604709,99555.5529854316,1.59563593857977,158854.418228737
"ANGLMEDGSA5",2.22891668731104,0.530991665767849,0.0564563768558852,47.7578694043945,0.2,106.448312065876,42.7791891982848,0.442493054806541,18.929494110496
"ANGLMEDGSA6",1.10833359482694,1.25089623238179,0.110186615234401,1994.53102340331,0.2,2210.60573916245,888.392867140259,1.04241352698482,926.072741983838
"APOLLPJPN",1.4062598497725,0.327201147698525,0.0764304288033024,1370000,0.2,1926575.99418832,774247.682849603,0.272667623082104,211112.275359428
"ARFLOUNDBSAI",1.79641132149387,0.0620154717563204,0.00919289526419963,908000,0.2,1631141.47991643,655519.177564152,0.0516795597969337,33876.9425349634
"ARFLOUNDGA",1.43058019166245,0.0537621200597435,0.0139370758568485,2110000,0.2,3018524.20440778,1213077.17834032,0.0448017667164529,54348.0007530559
"ARFLOUNDPCOAST",1.00701525673779,0.152865389653169,0.0240344942496033,98000,0.2,98687.4951603035,39660.290943409,0.127387824710974,5052.23819068521
"ARGANCHONARG",0.582916901391871,0.226214131595611,0.109457367996179,5150000,0.2,3002022.04216814,1206445.32944643,0.188511776329675,227429.152098587
"ARGANCHOSARG",0.630929468280598,0.714622623653275,0.122347555112282,2170000,0.2,1369116.9461689,550217.394132948,0.595518853044396,327664.83147913
"ARGHAKENARG",1.4819865875237,0.442501120821563,0.0408208778858938,594000,0.2,880300.032989079,353772.839903662,0.368750934017969,130454.065144665
"ATBTUNAWATL",0.588045932773241,0.102801526023944,0.0285677614112825,148974.539706917,0.2,87603.8721614182,35206.0314434712,0.0856679383532869,3016.02813136317
