stockid,B0_scalar,r,sigmaP,biomass_max,p,B0,bmsy,fmsy,msy
SARDWAZAB,0.978567995,1.765902968,0.328041886,1370000,0.2,1340638.153,538772.406,1.471585807,792849.8257
SARDWAZC,0.748035921,0.840183821,0.253061394,6290000,0.2,4705145.943,1890892.628,0.700153184,1323914.494
SARDWSE,2.432932177,0.060535526,0.099942019,480911,0.2,1170023.846,470206.3426,0.050446272,23720.15689
SAURNWPAC,0.729557239,0.789083232,0.165978384,5020000,0.2,3662377.339,1471827.313,0.65756936,967828.5444
SBARSHARATL,0.716098134,0.354751371,0.074133661,49700,0.2,35590.07724,14302.85383,0.295626142,4228.2975
SBELLYROCKPCOAST,0.179661147,0.041412993,0.022131251,381000,0.2,68450.89704,27508.8803,0.034510827,949.3542119
SBREAMCH,1.019953594,0.371315964,0.069405858,15600,0.2,15911.27606,6394.384991,0.30942997,1978.614358
SBWHITACIR,1.472618335,0.22480688,0.100422468,195569.5189,0.2,287999.2592,115740.443,0.187339066,21682.70654
SBWHITCH,0.173118336,0.016327779,0.007113145,1380000,0.2,238903.3043,96009.87987,0.013606482,1306.356718
SCALL5ZMAB,2.871675442,0.242767681,0.051422377,126000,0.2,361831.1057,145411.8063,0.202306401,29417.73922
SCALLGB,0.98973136,0.764770247,0.182342928,31600,0.2,31275.51099,12568.92642,0.637308539,8010.284138
SCALLNBB,0.668019197,0.438492536,0.124607739,22700,0.2,15164.03578,6094.085882,0.365410446,2226.842642
SCMPBP,0.839032009,0.046871401,0.057103077,7506.017482,0.2,6297.788931,2530.940125,0.0390595,98.85725689
SCMPMB,0.989200214,0.023630166,0.07353531,13334.8812,0.2,13190.86733,5301.113736,0.019691805,104.3884987
SCMPWHB,1.105406627,0.080865613,0.054945664,3514.877804,0.2,3885.369217,1561.442747,0.067388011,105.222521
SCUPNWATLC,1.016680568,0.30936079,0.036258304,535028.5157,0.2,543953.0953,218602.5492,0.257800658,56355.88108
SDOGATLC,0.73221047,0.18253075,0.104712469,741035.9041,0.2,542594.2475,218056.4588,0.152108959,33168.34085
SEELNSSA1,0.672207458,1.065255262,0.224736543,1483765.681,0.2,997398.3572,400832.0301,0.887712719,355823.6912
